index,Xi,Xj,model
0,Today morning I was,surprised to see my childhood friend standing at my doorstep.,llama3
1,He left the party and,went home alone to think about his mistakes,llama3
2,"After the meeting ended, I",realized that my idea wasn't as good as I thought,llama3
3,She looked at the clock and,realized she had to leave immediately,llama3
4,"Without a second thought, he",jumped into the icy waters to save his drowning child.,llama3
5,"Walking down the street, they",noticed a familiar face from their past.,llama3
6,I was about to say something when,"I'm ready!

I was about to say something when she suddenly walked out.",llama3
7,"Before the movie started, we",got stuck in a long line for popcorn,llama3
8,"As soon as the bell rang, they",...ran out of the classroom to grab their backpacks.,llama3
9,"The moment she opened the door, she",was met with a surprise party,llama3
10,"With a heavy heart, he",told his family that he would be leaving for good.,llama3
11,They didn't know what to do after,the main power lines went down.,llama3
12,"I was trying to focus, but",the sound of my neighbor's loud music kept distracting me,llama3
13,He glanced at the report and,realized that his worst fears were confirmed.,llama3
14,She smiled softly before she,revealed her true intentions to everyone.,llama3
15,They were about to leave when,They saw their old friend walking towards them.,llama3
16,I had no idea what to say when,my best friend told me she was leaving town forever.,llama3
17,"Just before the storm hit, we",were forced to take shelter inside,llama3
18,"After she finished speaking, I","felt a mix of emotions including shock, anger, and sadness",llama3
19,He took a deep breath and,prepared himself for the worst-case scenario,llama3
20,The dog barked loudly as,it saw a stranger approaching our house.,llama3
21,I couldn't believe my eyes when,"I'm ready to play!

The remaining part of the sentence would be:

I saw my childhood best friend walking down the aisle.",llama3
22,He walked into the room and,found everyone staring at him in silence,llama3
23,They waited patiently until,the old man finally opened his eyes.,llama3
24,"Without saying a word, she",knew exactly what I wanted to do.,llama3
25,"The car stopped abruptly, and",the driver's eyes went wide with shock,llama3
26,"Looking at the stars, she",felt a deep sense of peace wash over her,llama3
27,"Before he could respond, I",...realized that I had left my phone at home.,llama3
28,The child ran toward the playground and,was immediately swept up in a game of tag with her friends.,llama3
29,He was writing something down when,he suddenly realized what it meant.,llama3
30,They decided to leave before,the sun went down completely,llama3
31,"I tried calling him, but",he didn't answer his phone,llama3
32,"After a long silence, she",broke down in tears and confessed her true feelings.,llama3
33,"As the music played, they",started to dance in perfect harmony,llama3
34,He turned around quickly and,realized that he had left his phone on the table,llama3
35,She was holding a cup of coffee when,she suddenly spilled it all over her new white shirt.,llama3
36,"Without warning, the lights",went out in the middle of the concert,llama3
37,I knew something was wrong when,"I'm ready to help. Here's my attempt:

...the lights in the house started flickering wildly.

Let me know if that's correct!",llama3
38,"He was about to explain, but",...his boss suddenly interrupted the meeting.,llama3
39,She laughed softly and,"whispered ""I love you"" in his ear.",llama3
40,The airplane started to descend as,the pilot announced our arrival at JFK Airport,llama3
41,He couldn't stop thinking about,her beautiful smile,llama3
42,"The alarm rang, and she",woke up to an empty bed,llama3
43,"As soon as the train arrived, we",ran to grab our luggage and get out of there,llama3
44,I was halfway through the book when,"I got it!

...I realized that the plot twist changed everything!",llama3
45,He glanced at his phone and,realized he had no signal.,llama3
